fecha,valor
2022-05-09,904.81
2022-05-10,916.05
2022-05-11,913.94
2022-05-12,907.4
2022-05-13,899.78
2022-05-16,895.52
2022-05-17,895.03
2022-05-18,895.56
2022-05-19,890.97
2022-05-20,892.73
2022-05-23,878.19
2022-05-24,886.31
2022-05-25,894.74
2022-05-26,891.98
2022-05-27,889.47
2022-05-30,881.67
2022-05-31,890.85
2022-06-01,885.54
2022-06-02,879.08
2022-06-03,876.29
2022-06-06,871.88
2022-06-07,874.48
2022-06-08,887.95
2022-06-09,880.29
2022-06-10,879.05
2022-06-13,882.1
2022-06-14,900.24
2022-06-15,903.47
2022-06-16,896.68
2022-06-17,918.97
2022-06-20,918.84
2022-06-22,925.33
2022-06-23,937.65
2022-06-24,945.21
2022-06-28,961.69
2022-06-29,953.07
2022-06-30,960.9
2022-07-01,976.72
2022-07-04,974.29
2022-07-05,966.88
2022-07-06,973.63
2022-07-07,990.49
2022-07-08,975.6
2022-07-11,983.06
2022-07-12,996.43
2022-07-13,1014.08
2022-07-14,1017.28
2022-07-15,1045.79
2022-07-18,995.49
2022-07-19,955.42
2022-07-20,951.04
2022-07-21,935.46
2022-07-22,945.94
2022-07-25,951.67
2022-07-26,962.0
2022-07-27,933.33
2022-07-28,930.92
2022-07-29,926.24
2022-08-01,924.04
2022-08-02,915.62
2022-08-03,913.76
2022-08-04,922.21
2022-08-05,926.33
2022-08-08,931.06
2022-08-09,923.48
2022-08-10,919.26
2022-08-11,916.6
2022-08-12,909.99
2022-08-16,905.73
2022-08-17,897.91
2022-08-18,913.2
2022-08-19,926.17
2022-08-22,949.53
2022-08-23,939.18
2022-08-24,923.34
2022-08-25,912.13
2022-08-26,907.31
2022-08-29,897.17
2022-08-30,890.63
2022-08-31,884.76
2022-09-01,902.46
2022-09-02,894.31
2022-09-05,882.34
2022-09-06,860.34
2022-09-07,879.89
2022-09-08,885.45
2022-09-09,880.78
2022-09-12,888.97
2022-09-13,910.71
2022-09-14,910.27
2022-09-15,916.65
2022-09-20,923.34
2022-09-21,924.92
2022-09-22,926.5
2022-09-23,928.58
2022-09-26,936.8
2022-09-27,948.29
2022-09-28,941.59
2022-09-29,945.42
